"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"March 13, 2015",Mississippi,Brookhaven,"1097 South First St.",2,3,N/A
"March 13, 2015",Kentucky,Louisville,"3400 block of Algonquin Parkway",1,0,N/A
"March 11, 2015",Missouri,"Saint Louis","4500 block of West Florissant Avenue",1,2,N/A
"March 9, 2015",Texas,Laredo,"1800 block of Convent Ave",3,0,N/A
"March 8, 2015",Washington,"Yakima (Union Gap)","1815 West Ahtanum Road",1,0,N/A
"March 5, 2015",Oregon,Malin,"9425 Matney Way",1,0,N/A
"March 4, 2015",Alaska,Shungnak,N/A,1,0,N/A
"March 3, 2015",Louisiana,"New Orleans","14535 Duane Road",2,1,N/A
"March 1, 2015",Texas,Houston,"1900 block of Imperial Stone Dr.",1,0,N/A
"February 27, 2015",Texas,"Harris County","7400 block of Betanna",1,0,N/A
"February 16, 2015",Oregon,"Myrtle Creek","Division and North Myrtle Road",2,0,N/A
"February 15, 2015",Alabama,Gaylesville,"County Road 865",1,2,N/A
"February 13, 2015",Indiana,"Fort Wayne","1500 block of 4th Street",1,0,N/A
"February 11, 2015",Kentucky,Corbin,"1212 Forest Circle Drive",3,0,N/A
"February 11, 2015","New Mexico","Rio Rancho","Southern Boulevard SE and Country Club Drive SE",2,0,N/A
"February 10, 2015",Indiana,Paoli,"500 block of North Helm Street",3,0,N/A
"February 10, 2015",Ohio,Dalton,"South Mount Eaton Road",1,0,N/A
"February 9, 2015",Louisiana,"Lake Charles","Arsene Road",1,0,N/A
"February 7, 2015",Georgia,Douglasville,"3640 Willow Tree Circle",5,2,N/A
"February 4, 2015","North Carolina","Stokes County","1340 Ralph Boyles Road",4,0,N/A
"January 24, 2015","New York","Arverne (Queens)","231-11 148th Avenue",4,1,N/A
"January 21, 2015",Florida,"Tarpon Springs","1094 Misty Hollow Lane",1,0,N/A
"January 21, 2015",Michigan,"Benton Township","1600 block of Norton Street",1,0,N/A
"January 20, 2015",California,"San Diego","9500 block of High Park Lane",3,0,N/A
"January 19, 2015",Mississippi,Columbus,"Sobley Road",1,0,N/A
"January 19, 2015",Missouri,Elmo,"100 block of South Scott Street",1,0,N/A
"January 18, 2015",Minnesota,"Saint Paul (Apple Valley)","1051 Ramsdell Dr",3,0,N/A
"January 18, 2015",California,Fresno,"Clinton and Marks Avenue",1,0,N/A
"January 6, 2015",Georgia,"Fort Valley","1103 E. Church Street",1,0,N/A
"January 4, 2015",Kansas,"Kansas City","2700 block of North Early Street",1,1,N/A
"January 4, 2015",Maryland,Baltimore,"1900 block of 62nd Street",2,0,N/A
"January 2, 2015",Wisconsin,Montfort,"Main St.",2,1,N/A
"December 31, 2014",Alabama,Montgomery,"1700 block of Yarborough Street",1,0,N/A
"December 29, 2014",Michigan,Detroit,"Morang Ave and 11200 block of Roxbury St",1,0,N/A
"December 29, 2014",Florida,Tallahassee,"800 block of Dover Street",1,0,N/A
"December 27, 2014",Wisconsin,Milwaukee,"73rd and Mill",1,0,N/A
"December 26, 2014",Wisconsin,Milwaukee,"6400 block of N. 73rd Street",1,0,N/A
"December 22, 2014",Ohio,"New Paris","7800 block of New Paris Gettysburg Road",2,1,N/A
"December 20, 2014",Illinois,Rockford,"3200 block of Montrose Avenue",4,0,N/A
"December 15, 2014","South Carolina",Simpsonville,"Garfield Lane",1,0,N/A
"December 6, 2014",Illinois,"Villa Park",N/A,1,0,N/A
"December 5, 2014",Illinois,Chicago,N/A,1,0,N/A
"November 28, 2014",Texas,Childress,N/A,1,0,N/A
"November 25, 2014",Texas,Houston,N/A,1,0,N/A
"November 24, 2014","North Carolina","Anson County","Horne Store Road",2,0,N/A
"November 23, 2014",Minnesota,Rochester,"4500 block of Fifth Street Northwest",2,0,N/A
"November 20, 2014",Indiana,Elkhart,"2100 block of Morton Avenue",1,0,N/A
"November 20, 2014","New Jersey",Tabernacle,"Holly Park Drive",4,0,N/A
"November 18, 2014",Georgia,Savannah,"200 block of Hampstead Avenue",1,0,N/A
"November 14, 2014",Georgia,Decatur,"4900 block of Hidden Creek Place",1,0,N/A
"November 14, 2014",Louisiana,Shreveport,"2700 Block DeVaughn Street",1,0,N/A
"November 9, 2014",Indiana,Indianapolis,"1700 block of Century Circle",1,0,N/A
"November 8, 2014",Michigan,Detroit,"16100 block of Northlawn",1,0,N/A
"November 8, 2014",Nevada,Reno,"6300 block Stone Valley Drive",3,0,N/A
"November 6, 2014",Wisconsin,Milwaukee,"58th and Hampton.",1,0,N/A
"November 2, 2014",Ohio,Cincinnati,"200 block of Kinsey Avenue",1,0,N/A
"October 28, 2014","North Carolina",Durham,"900 block of Pebblestone Drive",1,1,N/A
"October 26, 2014",Kansas,"Kansas City","15th Street and New Jersey Avenue",1,0,N/A
"October 22, 2014",Indiana,Kokomo,"406 Fawn Drive",1,1,N/A
"October 22, 2014",California,Anaheim,"2300 block of West Greenacre Avenue",1,0,N/A
"October 22, 2014",Montana,Ninepipes,"Eagle Trail Pass",1,0,N/A
"October 20, 2014",Texas,Ledbetter,"U.S. Highway 290",3,0,N/A
"October 17, 2014",Tennessee,Buchanan,"Mt. Pleasant Freeland Road",1,0,N/A
"October 17, 2014",Florida,"Port Orange","1900 block of Jackson Lane",3,1,N/A
"October 17, 2014",Missouri,"Kansas City","107th Street and Blue Ridge Boulevard",1,0,N/A
"October 17, 2014",Tennessee,Paris,"Mount Pleasant Freeland Road",1,0,N/A
"October 16, 2014",Michigan,Detroit,"Mogul Street",1,3,N/A
"October 13, 2014",Florida,"Fort Myers","2210 Cuba St. ",1,0,N/A
"October 11, 2014","New Jersey",Irvington,"84 Ellis Avenue",1,0,N/A
"October 11, 2014",Louisiana,Benton,"200 block of Retha Lane",1,0,N/A
"October 10, 2014",California,Watsonville,"972 Main St",2,1,N/A
"October 8, 2014",Virginia,Richmond,"100 block of East Roanoke Street",4,0,N/A
"October 8, 2014","New York",Guilderland,"1846 Western Ave",4,0,N/A
"September 18, 2014",Florida,Bell,"NW 30th Street and NW 39th Terrace",8,0,N/A
"September 17, 2014","North Carolina","Gaston County",N/A,1,0,N/A
"September 15, 2014",Louisiana,Tallulah,"509 N. Chestnut Street",1,0,N/A
"September 13, 2014","South Carolina",Denmark,"East Mill Street",1,0,N/A
"September 8, 2014",Georgia,"Stone Mountain","700 block of 3rd Street",1,0,N/A
"September 8, 2014","New Jersey","Scotch Plains","300 block of Jerusalem Road ",2,0,N/A
"September 7, 2014",California,Manteca,"1200 block of Glenn Drive",1,1,N/A
"September 6, 2014","New Jersey","Scotch Plains","Jerusalem Road",2,0,N/A
"September 6, 2014",Alabama,"Pleasant Grove","300 block of Eighth Street",3,0,N/A
"September 6, 2014",Alabama,Greensboro,N/A,1,0,N/A
"September 5, 2014",Virginia,Richmond,"1500 block of Mechanicsville Turnpike",1,0,N/A
"September 3, 2014",Ohio,Springfield,"727 Burt Street",3,0,N/A
"September 2, 2014",Arizona,"San Tan Valley","500 block of E. Red Rock Trail",1,0,N/A
"September 2, 2014",Oklahoma,Tulsa,"2100 block of South 109th East Avenue",4,0,N/A
"September 2, 2014",Arizona,Tucson,"1300 block of North Bonanza Avenue ",3,0,N/A
"August 27, 2014",Kentucky,Louisville,"110 block of South 37th Street",1,1,N/A
"August 27, 2014","New Mexico",Bloomfield,"414 Ruth Lane",1,0,N/A
"August 27, 2014",Missouri,"Callaway County","7576 Primrose Lane",1,0,N/A
"August 26, 2014",Oklahoma,Tulsa,"2190 S. 109th East Avenue",4,0,N/A
"August 24, 2014",Georgia,"Paulding County","100 block of Gilbert’s Way",3,0,N/A
"August 22, 2014",Illinois,Chicago,"4300 block of West Monroe Street",1,0,N/A
"August 20, 2014",Illinois,Chicago,"1200 block of East 71st Street",1,0,N/A
"August 17, 2014",Tennessee,Clarksville,"2600 block of Arthurs Court",1,0,N/A
"August 16, 2014",Louisiana,"Baton Rouge",N/A,1,1,N/A
"August 16, 2014",Maryland,Suitland,"4600 block of Branch Avenue",2,0,N/A
"August 16, 2014",Kentucky,Inez,"Upper James Lane",3,0,N/A
"August 15, 2014",Tennessee,Memphis,"4029 Chinaberry Cove",3,0,N/A
"August 10, 2014",Maryland,Landover,"6900 block of Forest Terrace",1,0,N/A
"August 6, 2014",Oklahoma,Hobart,"200 block of Monroe",1,0,N/A
"August 5, 2014","North Carolina",Weldon,"606 Cedar Street",1,1,N/A
"August 3, 2014",Virginia,Culpeper,"4400 block of Rixeyville Road",5,0,N/A
"August 1, 2014",Pennsylvania,Philadelphia,"1500 block of South Etting Street",1,3,N/A
"July 30, 2014",Idaho,Chubbuck,"600 block of Canal Street",1,0,N/A
"July 30, 2014",Michigan,Detroit,"600 block of East Street",1,1,N/A
"July 30, 2014","North Carolina","Cumberland County","5100 New Moon Drive",3,3,N/A
"July 29, 2014",Kansas,Wichita,"500 block of East Lincoln",1,0,N/A
"July 26, 2014",Maine,Saco,"35 Water Street",5,0,N/A
"July 26, 2014",Pennsylvania,"Ridley Township","Haverford Road",2,1,N/A
"July 25, 2014","South Carolina","West Pelzer","Hindman Street",1,0,N/A
"July 25, 2014",Oregon,Donald,"10000 block of Main Street NE",1,0,N/A
"July 23, 2014","North Carolina",Wilson,"400 Parkview Street",1,0,N/A
"July 23, 2014",Virginia,Norfolk,"400 block of Woodford Street",2,0,N/A
"July 18, 2014",Illinois,Chicago,"3900 West Gladys Avenue",1,0,N/A
"July 18, 2014",Kansas,Leavenworth,"20th Street and Metropolitan Avenue",1,1,N/A
"July 9, 2014",Texas,Spring,"711 Leaflet Lane",6,1,N/A
"July 2, 2014",Arizona,Phoenix,"363rd and Durango ",1,0,N/A
"July 2, 2014",Alabama,Midfield,N/A,1,0,N/A
"July 2, 2014",Michigan,Inkster,"30100 Carlysle St",1,2,N/A
"July 1, 2014",Michigan,Detroit,"Carlyle St.",1,2,N/A
"June 25, 2014",Virginia,"Virginia Beach","2200 block of Chicks Beach Court",2,0,N/A
"June 17, 2014",Ohio,Frazeysburg,"43 1st St ",1,0,N/A
"June 15, 2014",Virginia,Chesterfield,"5700 Fox Maple Terrace",4,0,N/A
"June 13, 2014",Georgia,"Walker County",N/A,1,1,N/A
"June 10, 2014",Ohio,Cleveland,"2700 block of Washington Avenue",1,0,N/A
"June 10, 2014",Ohio,Cleveland,"West 28th and Division",1,0,N/A
"June 8, 2014",Florida,"Fort Myers","17372 Phlox Drive",5,0,N/A
"June 1, 2014",Missouri,Joplin,N/A,1,0,N/A
"May 31, 2014",Louisiana,"West Monroe",N/A,2,0,N/A
"May 31, 2014",Louisiana,"West Monroe","1616 Arkansas Rd",3,0,N/A
"May 28, 2014",Florida,"Palm Beach County","Quail Lake Drive ",1,0,N/A
"May 27, 2014",Arizona,Payson,N/A,1,0,N/A
"May 24, 2014",Texas,Boerne,"100 Block of Becker Street",1,0,N/A
"May 24, 2014",Texas,"Ector County","12000 block of South Beryl Avenue",2,1,N/A
"May 24, 2014",Vermont,Cabot,"Vermont 215",1,0,N/A
"May 22, 2014",Mississippi,Jackson,N/A,1,0,N/A
"May 21, 2014",Wisconsin,Milwaukee,"N. 28th Street and Clarke Street",1,0,N/A
"May 18, 2014",Texas,"San Antonio","1400 block of Aransas Avenue",1,0,N/A
"May 17, 2014",Indiana,Merrillville,"6400 block of Cleveland Street",1,0,N/A
"May 10, 2014",Georgia,"Stone Mountain","1100 To Lani Farm Road",1,3,N/A
"May 3, 2014",Pennsylvania,"Delaware Township","Keystone Drive",1,0,N/A
"April 29, 2014",Kansas,Wichita,N/A,1,0,N/A
"April 28, 2014","North Carolina",Durham,"Macon Street and Washington ",1,0,N/A
"April 26, 2014",Kentucky,Louisville,"2700 Narragansett Drive",1,0,N/A
"April 26, 2014",Indiana,"Noble County","5000 W. County Road 1100",1,0,N/A
"April 25, 2014","North Carolina",Fayetteville,"Peele Street",1,0,N/A
"April 25, 2014","North Carolina",Fayetteville,"2101 Hyde Place",1,0,N/A
"April 21, 2014",Virginia,"Burnt Chimney","Double Oaks Lane",1,0,N/A
"April 21, 2014",Tennessee,Memphis,"4000 Orleans Road ",1,0,N/A
"April 21, 2014",Iowa,"Des Moines","2746 Fleur Dr.",1,0,N/A
"April 18, 2014",Utah,"Cache County","3616 West and  2200 South",1,0,N/A
"April 18, 2014",Nebraska,Hastings,N/A,1,0,N/A
"April 13, 2014","North Carolina",Charlotte,"700 Glasgow Road",1,0,N/A
"April 12, 2014","South Carolina",Gaston,N/A,1,1,N/A
"April 10, 2014",Ohio,Columbus,"Roswell Drive",1,0,N/A
"April 9, 2014",Indiana,"South Bend","Campeau and Frances",1,0,N/A
"April 6, 2014",Virginia,"Orange County","Matthews Mill Road",1,0,N/A
"April 5, 2014",Pennsylvania,Philadelphia,"3800 Wallace Street",1,0,N/A
"April 4, 2014",Georgia,Savannah,"1400 Church Street ",1,0,N/A
"April 4, 2014",Georgia,Waycross," 4900 Jana Lane",1,0,N/A
"April 3, 2014",Arkansas,Bokoshe,N/A,1,0,N/A
"March 31, 2014",Pennsylvania,Washington,"West Chestnut Street",1,0,N/A
"March 26, 2014",Missouri,"Saint Louis","3600  Tholozan Avenue",1,0,N/A
"March 21, 2014","South Carolina","Rock Hill","800 Idlewild Drive ",2,1,N/A
"March 12, 2014",Ohio,"Franklin Township","Johnson Rd.",1,0,N/A
"March 11, 2014",Oklahoma,"Broken Arrow","3500 block of East Aurora",1,0,N/A
"March 10, 2014",Texas,Corsicana,Eureka,1,0,N/A
"March 10, 2014",Texas,Eureka,"SE 3144",1,0,N/A
"March 7, 2014",Pennsylvania,"East Norriton Township",N/A,2,0,N/A
"March 5, 2014",Alabama,Mobile,"2600 block of Wealthy Street ",1,0,N/A
"March 5, 2014",California,Nuevo," 31000 block of Wolfskill Avenue",1,0,N/A
"March 1, 2014",Ohio,Cincinnati,"3600 block of Lasalle Av",1,0,N/A
"March 1, 2014",Florida,Pensacola,N/A,1,0,N/A
"March 1, 2014",Ohio,Cincinnati,N/A,1,0,N/A
"February 27, 2014",Louisiana,Opelousas,"500 block of MLK Drive ",1,0,N/A
"February 26, 2014",Illinois,"Oak Lawn","9800 block of 51st Av",4,0,N/A
"February 20, 2014",Georgia,"Effingham County","100 block of Zittrouer Road",1,0,N/A
"February 20, 2014",Texas,Post,"West Texas residence",1,0,N/A
